"id","name","image_tag","created_at","updated_at"
"1","Manufacturing","unavailable.png","2019-09-09 20:23:33","2019-09-09 20:23:33"
"2","nan","unavailable.png","2019-09-09 20:23:33","2019-09-09 20:23:33"
"3","ATMs","unavailable.png","2019-09-09 20:23:33","2019-09-09 20:23:33"
"4","Driving School","unavailable.png","2019-09-09 20:23:33","2019-09-09 20:23:33"
"5","Computer Accessories","unavailable.png","2019-09-09 20:23:34","2019-09-09 20:23:34"
"6","Healthcare","unavailable.png","2019-09-09 20:23:34","2019-09-09 20:23:34"
"7","Diagnostic Centres","unavailable.png","2019-09-09 20:23:34","2019-09-09 20:23:34"
"8","Cargo Services","unavailable.png","2019-09-09 20:23:35","2019-09-09 20:23:35"
"9","Marketing","unavailable.png","2019-09-09 20:23:35","2019-09-09 20:23:35"
"10","Federal Government Regulatory Offices","unavailable.png","2019-09-09 20:23:35","2019-09-09 20:23:35"
"11","Equipments","unavailable.png","2019-09-09 20:23:35","2019-09-09 20:23:35"
"12","Property","unavailable.png","2019-09-09 20:23:35","2019-09-09 20:23:35"
"13","Furniture & Fittings","unavailable.png","2019-09-09 20:23:36","2019-09-09 20:23:36"
"14","Law","unavailable.png","2019-09-09 20:23:36","2019-09-09 20:23:36"
"15","Civil Engineering","unavailable.png","2019-09-09 20:23:36","2019-09-09 20:23:36"
"16","aluminium","unavailable.png","2019-09-09 20:23:36","2019-09-09 20:23:36"
"17","Audio Visual Equipments","unavailable.png","2019-09-09 20:23:37","2019-09-09 20:23:37"
"18","General Merchandise","unavailable.png","2019-09-09 20:23:37","2019-09-09 20:23:37"
"19","Mobile Phone Accessories","unavailable.png","2019-09-09 20:23:37","2019-09-09 20:23:37"
"20","Colleges","unavailable.png","2019-09-09 20:23:38","2019-09-09 20:23:38"
"21","Oil & Gas","unavailable.png","2019-09-09 20:23:38","2019-09-09 20:23:38"
"22","Media Communication","unavailable.png","2019-09-09 20:23:38","2019-09-09 20:23:38"
"23","Beverages","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"24","Business Centres","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"25","computer hardware","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"26","Security Equipment Sales and Services","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"27","Auto Dealers (Four Wheelers)","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"28","Clothing","unavailable.png","2019-09-09 20:23:39","2019-09-09 20:23:39"
"29","Education","unavailable.png","2019-09-09 20:23:40","2019-09-09 20:23:40"
"30","CD & DVD Rentals","unavailable.png","2019-09-09 20:23:40","2019-09-09 20:23:40"
"31","Human Resource Consultants & Recruitment","unavailable.png","2019-09-09 20:23:40","2019-09-09 20:23:40"
"32","Building Materials & Plumbing Materials","unavailable.png","2019-09-09 20:23:42","2019-09-09 20:23:42"
"33","Electrical Equipment Dealers","unavailable.png","2019-09-09 20:23:42","2019-09-09 20:23:42"
"34","Auto Services","unavailable.png","2019-09-09 20:23:42","2019-09-09 20:23:42"
"35","Furniture","unavailable.png","2019-09-09 20:23:42","2019-09-09 20:23:42"
"36","Game Centre","unavailable.png","2019-09-09 20:23:43","2019-09-09 20:23:43"
"37","Electricians","unavailable.png","2019-09-09 20:23:43","2019-09-09 20:23:43"
"38","Agriculture & Farms","unavailable.png","2019-09-09 20:23:43","2019-09-09 20:23:43"
"39","Media and Entertainment","unavailable.png","2019-09-09 20:23:43","2019-09-09 20:23:43"
"40","Agricultural Product","unavailable.png","2019-09-09 20:23:44","2019-09-09 20:23:44"
"41","Catering Institutes","unavailable.png","2019-09-09 20:23:44","2019-09-09 20:23:44"
"42","Provision Stores","unavailable.png","2019-09-09 20:23:44","2019-09-09 20:23:44"
"43","Art & Design","unavailable.png","2019-09-09 20:23:44","2019-09-09 20:23:44"
"44","Entertainment","unavailable.png","2019-09-09 20:23:45","2019-09-09 20:23:45"
"45","Cyber Cafes","unavailable.png","2019-09-09 20:23:45","2019-09-09 20:23:45"
"46","Building Materials","unavailable.png","2019-09-09 20:23:45","2019-09-09 20:23:45"
"47","Consulting","unavailable.png","2019-09-09 20:23:45","2019-09-09 20:23:45"
"48","foam","unavailable.png","2019-09-09 20:23:45","2019-09-09 20:23:45"
"49","Financial Services","unavailable.png","2019-09-09 20:23:46","2019-09-09 20:23:46"
"50","Building Contractors","unavailable.png","2019-09-09 20:23:46","2019-09-09 20:23:46"
"51","Boutiques","unavailable.png","2019-09-09 20:23:46","2019-09-09 20:23:46"
"52","Recharge Card Dealers","unavailable.png","2019-09-09 20:23:46","2019-09-09 20:23:46"
"53","Banks","unavailable.png","2019-09-09 20:23:47","2019-09-09 20:23:47"
"54","Alcoholic Drink","unavailable.png","2019-09-09 20:23:49","2019-09-09 20:23:49"
"55","Insurance","unavailable.png","2019-09-09 20:23:49","2019-09-09 20:23:49"
"56","Electrical Appliances","unavailable.png","2019-09-09 20:23:50","2019-09-09 20:23:50"
"57","Creches","unavailable.png","2019-09-09 20:23:50","2019-09-09 20:23:50"
"58","Architects","unavailable.png","2019-09-09 20:23:51","2019-09-09 20:23:51"
"59","bed and bedding","unavailable.png","2019-09-09 20:23:53","2019-09-09 20:23:53"
"60","Building & Construction","unavailable.png","2019-09-09 20:23:54","2019-09-09 20:23:54"
"61","Contractors","unavailable.png","2019-09-09 20:23:54","2019-09-09 20:23:54"
"62","Bottled Water Manufacturers","unavailable.png","2019-09-09 20:23:54","2019-09-09 20:23:54"
"63","Book Shop","unavailable.png","2019-09-09 20:23:55","2019-09-09 20:23:55"
"64","Cooperative Society","unavailable.png","2019-09-09 20:23:55","2019-09-09 20:23:55"
"65","Emergency","unavailable.png","2019-09-09 20:23:56","2019-09-09 20:23:56"
