"id","name","created_at","updated_at"
"1","Abia","2019-09-09 20:16:18","2019-10-10 21:45:53"
"2","Abuja","2019-09-09 20:16:18","2019-09-09 20:16:18"
"3","Adamawa","2019-09-09 20:16:18","2019-09-09 20:16:18"
"4","Akwa-Ibom","2019-09-09 20:16:18","2019-09-09 20:16:18"
"5","Anambra","2019-09-09 20:16:18","2019-09-09 20:16:18"
"6","Bauchi","2019-09-09 20:16:18","2019-09-09 20:16:18"
"7","Bayelsa","2019-09-09 20:16:18","2019-09-09 20:16:18"
"8","Benue","2019-09-09 20:16:18","2019-09-09 20:16:18"
"9","Borno","2019-09-09 20:16:18","2019-09-09 20:16:18"
"10","Cross-River","2019-09-09 20:16:18","2019-09-09 20:16:18"
"11","Delta","2019-09-09 20:16:18","2019-09-09 20:16:18"
"12","Ebonyi","2019-09-09 20:16:18","2019-09-09 20:16:18"
"13","Edo","2019-09-09 20:16:18","2019-09-09 20:16:18"
"14","Ekiti","2019-09-09 20:16:18","2019-09-09 20:16:18"
"15","Enugu","2019-09-09 20:16:18","2019-09-09 20:16:18"
"16","Gombe","2019-09-09 20:16:18","2019-09-09 20:16:18"
"17","Imo","2019-09-09 20:16:18","2019-09-09 20:16:18"
"18","Jigawa","2019-09-09 20:16:18","2019-09-09 20:16:18"
"19","Kaduna","2019-09-09 20:16:18","2019-09-09 20:16:18"
"20","Kano","2019-09-09 20:16:18","2019-09-09 20:16:18"
"21","Katsina","2019-09-09 20:16:18","2019-09-09 20:16:18"
"22","Kebbi","2019-09-09 20:16:18","2019-09-09 20:16:18"
"23","Kogi","2019-09-09 20:16:18","2019-09-09 20:16:18"
"24","Kwara","2019-09-09 20:16:18","2019-09-09 20:16:18"
"25","Lagos","2019-09-09 20:16:18","2019-09-09 20:16:18"
"26","Nasarawa","2019-09-09 20:16:18","2019-09-09 20:16:18"
"27","Niger","2019-09-09 20:16:18","2019-09-09 20:16:18"
"28","Ogun","2019-09-09 20:16:18","2019-09-09 20:16:18"
"29","Ondo","2019-09-09 20:16:18","2019-09-09 20:16:18"
"30","Osun","2019-09-09 20:16:18","2019-09-09 20:16:18"
"31","Oyo","2019-09-09 20:16:18","2019-09-09 20:16:18"
"32","Plateau","2019-09-09 20:16:18","2019-09-09 20:16:18"
"33","Rivers","2019-09-09 20:16:18","2019-09-09 20:16:18"
"34","Sokoto","2019-09-09 20:16:18","2019-09-09 20:16:18"
"35","Taraba","2019-09-09 20:16:18","2019-09-09 20:16:18"
"36","Yobe","2019-09-09 20:16:18","2019-09-09 20:16:18"
"37","Zamfara","2019-09-09 20:16:18","2019-09-09 20:16:18"
